hsa-miR-499a;KCNQ1OT1
hsa-miR-499a;HCG18
hsa-miR-499a;MALAT1
hsa-miR-296;XIST
hsa-miR-124;XIST
hsa-miR-124;KCNQ1OT1
hsa-let-7c;XIST
hsa-miR-155;MIR155HG
hsa-miR-301b;HOTAIR
hsa-miR-130b;HOTAIR
hsa-miR-3619;HOTAIR
hsa-miR-3619;HCG18
hsa-miR-378b;HCG18
hsa-miR-378b;MALAT1
hsa-miR-425;NEAT1
hsa-let-7g;TTTY15
hsa-miR-15b;SNHG12
hsa-miR-15b;SNHG1
hsa-miR-367;XIST
hsa-miR-367;SNHG5
hsa-miR-367;MALAT1
hsa-miR-302d;XIST
hsa-miR-302d;HCG18
hsa-miR-302d;MIR17HG
hsa-miR-302a;XIST
hsa-miR-302a;HCG18
hsa-miR-302a;MIR17HG
hsa-miR-302c;XIST
hsa-miR-302c;HCG18
hsa-miR-302c;MIR17HG
hsa-miR-302b;HCG18
hsa-miR-302b;MIR17HG
hsa-miR-3139;XIST
hsa-miR-3139;MALAT1
hsa-miR-449a;XIST
hsa-miR-449a;KCNQ1OT1
hsa-miR-449a;SNHG7
hsa-miR-449b;XIST
hsa-miR-449b;KCNQ1OT1
hsa-miR-449b;NEAT1
hsa-miR-145;KCNQ1OT1
hsa-miR-1271;XIST
hsa-miR-30a;XIST
hsa-miR-148a;XIST
hsa-miR-196b;XIST
hsa-miR-590;SNHG1
hsa-miR-590;GAS5
hsa-miR-25;SNHG5
hsa-miR-3666;XIST
hsa-miR-3666;H19
hsa-miR-3666;KCNQ1OT1
hsa-miR-3666;HOTAIR
hsa-miR-3666;MIR17HG
hsa-miR-490;MIR155HG
hsa-miR-490;XIST
hsa-miR-383;KCNQ1OT1
hsa-miR-320a;HCG18
hsa-miR-320a;MALAT1
hsa-miR-599;XIST
hsa-miR-30b;XIST
hsa-miR-30b;MALAT1
hsa-miR-30d;MALAT1
hsa-miR-491;XIST
hsa-miR-876;XIST
hsa-miR-876;KCNQ1OT1
hsa-miR-873;XIST
hsa-miR-204;XIST
hsa-let-7f;TTTY15
hsa-miR-23b;XIST
hsa-miR-27b;XIST
hsa-miR-27b;KCNQ1OT1
hsa-miR-455;PVT1
hsa-miR-23c;XIST
hsa-miR-223;MIR155HG
hsa-miR-374b;XIST
hsa-miR-374a;XIST
hsa-miR-384;KCNQ1OT1
